,App_MyTT,ARPU_Nov24,ARPU_Dec24,ARPU_Jan25,Min_TT_Nov24,Min_TT_Dec24,Min_TT_Jan25,Min_HorsTT_Nov24,Min_HorsTT_Dec24,Min_HorsTT_Jan25,Min_TT_ServiceClient_Nov24,Min_TT_ServiceClient_Dec24,Min_TT_ServiceClient_Jan25,Nbr_Recharges_Nov24,Nbr_Recharges_Dec24,Nbr_Recharges_Jan25,Volume_Data_Nov24,Volume_Data_Dec24,Volume_Data_Jan25,Ancienneté_Abonné,Résiliation
Min_TT_ServiceClient_Nov24,0.05924892185243878,0.12466515881206086,0.06380633309337266,0.025658735840217845,0.10210771880336675,0.06576379579152987,0.045668743399249576,0.10904323398360483,0.050735396059605926,0.023769953780835285,1.0,0.28208590903131014,0.23344117251238763,0.18964629688606244,0.1073985247832677,0.08675699790622739,0.077434849763069,0.042690760567347795,0.0399312789128591,0.06511795736826753,0.018422092103461064
Min_TT_ServiceClient_Dec24,0.07656046196020289,0.05209802064683295,0.13278361989301246,0.07405851650072066,0.054907853793271566,0.1079882922651373,0.07780086402345898,0.0429783255951476,0.11969249813516855,0.06561753001854308,0.28208590903131014,1.0,0.29750230104624303,0.11235875480670679,0.1944155131587272,0.1411974302985153,0.03479522768899805,0.07349211007509067,0.04493108335818432,0.0761203414848613,0.010463026575217516
Min_TT_ServiceClient_Jan25,0.07952351186435101,0.04141029902313013,0.07870446496725335,0.15070341095198445,0.0489522794764396,0.08284700117556155,0.12385655050426747,0.03472205104040455,0.07056700845924041,0.13988760895601846,0.23344117251238763,0.29750230104624303,1.0,0.09430035549049759,0.1280126870789321,0.21516883749675317,0.031675042933818384,0.04109406794907635,0.08223967441300609,0.06157260098904185,0.003620377766489215
Nbr_Recharges_Nov24,0.365240357718091,0.6398990084003973,0.40682920001761497,0.2747335536460971,0.4325074898077442,0.2907055530058349,0.21263495475924463,0.47343164517602987,0.30506975362115263,0.21798794475669822,0.18964629688606244,0.11235875480670679,0.09430035549049759,1.0,0.5789891054883477,0.446500850564554,0.21304985143902622,0.14531049832816428,0.12266935468198178,0.10607566647300114,0.014795327011638533
Nbr_Recharges_Dec24,0.36991414228858654,0.3005975554253636,0.5951782535088685,0.41121732944566985,0.21247384543066047,0.3907499795099813,0.288629667799198,0.2130616648228312,0.4238141343765013,0.2995973357003148,0.1073985247832677,0.1944155131587272,0.1280126870789321,0.5789891054883477,1.0,0.6412354285003218,0.11063159177838414,0.20912413490115286,0.14340330953735783,0.11513168990779013,0.1102165021193534
Nbr_Recharges_Jan25,0.3300484356379233,0.17625390935867907,0.37303770520070584,0.595285340060805,0.14347412834795334,0.2654103243216307,0.40359728747808066,0.11754095354111221,0.26161866802757305,0.42234131467790714,0.08675699790622739,0.1411974302985153,0.21516883749675317,0.446500850564554,0.6412354285003218,1.0,0.06449176832989467,0.12015498520008357,0.21018282067428828,0.11744156619517654,0.19667222055364736
Volume_Data_Nov24,0.16165192685222346,0.2693546099616787,0.18204301684875443,0.15168971043377477,0.094721993240755,0.11197503836514816,0.10869499672885452,0.04988698173755915,0.07427339732470997,0.07575288582805734,0.077434849763069,0.03479522768899805,0.031675042933818384,0.21304985143902622,0.11063159177838414,0.06449176832989467,1.0,0.7073331050647246,0.6426884664251049,0.04747350412711512,0.004274305500921644
Volume_Data_Dec24,0.1834657982645553,0.1813396097823903,0.28860042011864695,0.2073194840127164,0.10395821407663673,0.09187120200076858,0.09610145420910382,0.06469211444203328,0.04851516293049602,0.057507984415992065,0.042690760567347795,0.07349211007509067,0.04109406794907635,0.14531049832816428,0.20912413490115286,0.12015498520008357,0.7073331050647246,1.0,0.7126065157247868,0.0414225472849532,0.04030991800988761
Volume_Data_Jan25,0.18930679651750393,0.1635479560346165,0.21059326953920585,0.3120793360951885,0.10296426424502486,0.09552559642218546,0.07688114644312426,0.0636105903054725,0.05283708025799914,0.03273438360483247,0.0399312789128591,0.04493108335818432,0.08223967441300609,0.12266935468198178,0.14340330953735783,0.21018282067428828,0.6426884664251049,0.7126065157247868,1.0,0.028295186958967034,0.07634306754520462
Ancienneté_Abonné,0.032857697051884294,0.02917226413498201,0.04904608823025851,0.07723678645033427,0.05110753137208001,0.04685495903019172,0.059554610581424854,0.08783974295527544,0.08230469125171802,0.09449907530126868,0.06511795736826753,0.0761203414848613,0.06157260098904185,0.10607566647300114,0.11513168990779013,0.11744156619517654,0.04747350412711512,0.0414225472849532,0.028295186958967034,1.0,0.0702252244162482
Résiliation,0.13298220992144666,0.02710155071536994,0.10419818457972073,0.20201080118784934,0.010683120299423882,0.03995988905081926,0.032898878930370724,0.015123780381154153,0.04024603659185936,0.038172921277481356,0.018422092103461064,0.010463026575217516,0.003620377766489215,0.014795327011638533,0.1102165021193534,0.19667222055364736,0.004274305500921644,0.04030991800988761,0.07634306754520462,0.0702252244162482,1.0
